subject	method	block	trail	err
6	simple10	3	5	0
6	simple10	3	6	0
6	simple10	3	7	0
6	simple10	3	8	2
6	simple10	3	9	1
6	simple10	3	10	0
6	simple10	4	1	0
6	simple10	4	2	0
6	simple10	4	3	1
6	simple10	4	4	0
6	simple10	4	5	0
6	simple10	4	6	0
6	simple10	4	7	0
6	simple10	4	8	1
6	simple10	4	9	0
6	simple10	4	10	0
6	random	1	1	0
6	random	1	2	0
6	random	1	3	0
6	random	1	4	0
6	random	1	5	0
6	random	1	6	0
6	random	1	7	0
6	random	1	8	4
6	random	1	9	0
6	random	1	10	0
6	random	2	1	2
6	random	2	2	0
6	random	2	3	0
6	random	2	4	0
6	random	2	5	2
6	random	2	6	0
6	random	2	7	0
6	random	2	8	0
6	random	2	9	0
6	random	2	10	0
6	random	3	1	0
6	random	3	2	0
6	random	3	3	0
6	random	3	4	1
6	random	3	5	0
6	random	3	6	0
6	random	3	7	0
6	random	3	8	0
6	random	3	9	1
6	random	3	10	0
6	random	4	1	0
6	random	4	2	1
6	random	4	3	0
6	random	4	4	1
6	random	4	5	1
6	random	4	6	0
6	random	4	7	2
6	random	4	8	0
6	random	4	9	0
6	random	4	10	0
6	user	1	1	0
6	user	1	2	0
6	user	1	3	0
6	user	1	4	2
6	user	1	5	0
6	user	1	6	0
6	user	1	7	0
6	user	1	8	0
6	user	1	9	0
6	user	1	10	1
6	user	2	1	0
6	user	2	2	4
6	user	2	3	0
6	user	2	4	0
6	user	2	5	1
6	user	2	6	2
6	user	2	7	0
6	user	2	8	0
6	user	2	9	0
6	user	2	10	0
6	user	3	1	1
6	user	3	2	0
6	user	3	3	0
6	user	3	4	0
6	user	3	5	0
6	user	3	6	1
6	user	3	7	4
6	user	3	8	2
6	user	3	9	0
6	user	3	10	2
6	user	4	1	0
6	user	4	2	0
6	user	4	3	0
6	user	4	4	0
6	user	4	5	0
6	user	4	6	1
6	user	4	7	0
6	user	4	8	0
6	user	4	9	0
6	user	4	10	6
7	simple10	1	1	1
7	simple10	1	2	0
7	simple10	1	3	0
7	simple10	1	4	5
7	simple10	1	5	3
7	simple10	1	6	1
7	simple10	1	7	2
7	simple10	1	8	1
7	simple10	1	9	3
7	simple10	1	10	0
7	simple10	2	1	5
7	simple10	2	2	9
7	simple10	2	3	2
7	simple10	2	4	0
7	simple10	2	5	0
7	simple10	2	6	0
7	simple10	2	7	0
7	simple10	2	8	0
7	simple10	2	9	2
7	simple10	2	10	0
7	simple10	3	1	0
7	simple10	3	2	0
7	simple10	3	3	5
7	simple10	3	4	3
7	simple10	3	5	0
7	simple10	3	6	0
7	simple10	3	7	0
7	simple10	3	8	0
7	simple10	3	9	0
7	simple10	3	10	0
7	simple10	4	1	1
7	simple10	4	2	0
7	simple10	4	3	1
7	simple10	4	4	0
7	simple10	4	5	1
7	simple10	4	6	0
7	simple10	4	7	0
7	simple10	4	8	0
7	simple10	4	9	1
7	simple10	4	10	4
7	random	1	1	0
7	random	1	2	2
7	random	1	3	0
7	random	1	4	0
7	random	1	5	0
7	random	1	6	0
7	random	1	7	0
7	random	1	8	0
7	random	1	9	0
7	random	1	10	0
7	random	2	1	0
7	random	2	2	2
7	random	2	3	0
7	random	2	4	0
7	random	2	5	0
7	random	2	6	2
7	random	2	7	0
7	random	2	8	1
7	random	2	9	0
7	random	2	10	0
7	random	3	1	0
7	random	3	2	0
7	random	3	3	1
7	random	3	4	3
7	random	3	5	2
7	random	3	6	0
7	random	3	7	0
7	random	3	8	0
7	random	3	9	2
7	random	3	10	0
7	random	4	1	0
7	random	4	2	0
7	random	4	3	0
7	random	4	4	0
7	random	4	5	0
7	random	4	6	1
7	random	4	7	0
7	random	4	8	2
7	random	4	9	0
7	random	4	10	0
7	user	1	1	0
7	user	1	2	0
7	user	1	3	0
7	user	1	4	0
7	user	1	5	0
7	user	1	6	3
7	user	1	7	0
7	user	1	8	0
7	user	1	9	0
7	user	1	10	0
7	user	2	1	0
7	user	2	2	0
7	user	2	3	0
7	user	2	4	0
7	user	2	5	0
7	user	2	6	0
7	user	2	7	0
7	user	2	8	0
7	user	2	9	0
7	user	2	10	0
7	user	3	1	0
7	user	3	2	0
7	user	3	3	0
7	user	3	4	0
7	user	3	5	0
7	user	3	6	0
7	user	3	7	1
7	user	3	8	0
7	user	3	9	0
7	user	3	10	0
7	user	4	1	0
7	user	4	2	1
7	user	4	3	0
7	user	4	4	0
7	user	4	5	0
7	user	4	6	0
7	user	4	7	0
7	user	4	8	3
7	user	4	9	0
7	user	4	10	0
8	simple10	1	1	0
8	simple10	1	2	1
8	simple10	1	3	1
8	simple10	1	4	0
8	simple10	1	5	0
8	simple10	1	6	0
8	simple10	1	7	1
8	simple10	1	8	0
8	simple10	1	9	0
8	simple10	1	10	1
8	simple10	2	1	0
8	simple10	2	2	0
8	simple10	2	3	0
8	simple10	2	4	0
8	simple10	2	5	0
8	simple10	2	6	0
8	simple10	2	7	0
8	simple10	2	8	1
8	simple10	2	9	0
8	simple10	2	10	0
8	simple10	3	1	0
8	simple10	3	2	0
8	simple10	3	3	0
8	simple10	3	4	0
8	simple10	3	5	0
8	simple10	3	6	0
8	simple10	3	7	0
8	simple10	3	8	0
8	simple10	3	9	0
8	simple10	3	10	0
8	simple10	4	1	0
8	simple10	4	2	0
8	simple10	4	3	0
8	simple10	4	4	0
8	simple10	4	5	0
8	simple10	4	6	0
8	simple10	4	7	0
8	simple10	4	8	1
8	simple10	4	9	0
8	simple10	4	10	0
8	random	1	1	0
8	random	1	2	0
8	random	1	3	0
8	random	1	4	0
8	random	1	5	0
8	random	1	6	0
8	random	1	7	0
8	random	1	8	0
8	random	1	9	0
8	random	1	10	0
8	random	2	1	0
8	random	2	2	0
8	random	2	3	0
8	random	2	4	0
8	random	2	5	0
8	random	2	6	0
8	random	2	7	0
8	random	2	8	0
8	random	2	9	0
8	random	2	10	0
8	random	3	1	0
8	random	3	2	0
8	random	3	3	0
8	random	3	4	0
8	random	3	5	0
8	random	3	6	0
8	random	3	7	0
8	random	3	8	0
8	random	3	9	0
8	random	3	10	0
8	random	4	1	0
8	random	4	2	0
8	random	4	3	0
8	random	4	4	0
8	random	4	5	0
8	random	4	6	0
8	random	4	7	0
8	random	4	8	0
8	random	4	9	0
8	random	4	10	0
8	user	1	1	0
8	user	1	2	0
8	user	1	3	0
8	user	1	4	0
8	user	1	5	0
8	user	1	6	0
8	user	1	7	2
8	user	1	8	0
8	user	1	9	0
8	user	1	10	0
8	user	2	1	0
8	user	2	2	0
8	user	2	3	0
8	user	2	4	0
8	user	2	5	0
8	user	2	6	0
8	user	2	7	0
8	user	2	8	0
8	user	2	9	0
8	user	2	10	0
8	user	3	1	0
8	user	3	2	0
8	user	3	3	0
8	user	3	4	0
8	user	3	5	0
8	user	3	6	0
8	user	3	7	0
8	user	3	8	0
8	user	3	9	0
8	user	3	10	0
8	user	4	1	0
8	user	4	2	0
8	user	4	3	0
8	user	4	4	0
8	user	4	5	0
8	user	4	6	0
8	user	4	7	0
8	user	4	8	0
8	user	4	9	0
8	user	4	10	0
