subject	method	block	trail	ct
2	user	4	9	2808
2	user	4	10	2400
3	simple10	1	1	3521
3	simple10	1	2	1912
3	simple10	1	3	8383
3	simple10	1	4	1640
3	simple10	1	5	2288
3	simple10	1	6	3576
3	simple10	1	7	1528
3	simple10	1	8	1448
3	simple10	1	9	1505
3	simple10	1	10	3655
3	simple10	2	1	3752
3	simple10	2	2	4031
3	simple10	2	3	4119
3	simple10	2	4	1737
3	simple10	2	5	2016
3	simple10	2	6	1551
3	simple10	2	7	11439
3	simple10	2	8	6392
3	simple10	2	9	1496
3	simple10	2	10	1952
3	simple10	3	1	1960
3	simple10	3	2	10416
3	simple10	3	3	2577
3	simple10	3	4	2424
3	simple10	3	5	1225
3	simple10	3	6	7584
3	simple10	3	7	2102
3	simple10	3	8	2481
3	simple10	3	9	5063
3	simple10	3	10	1600
3	simple10	4	1	1712
3	simple10	4	2	3704
3	simple10	4	3	1809
3	simple10	4	4	3263
3	simple10	4	5	5241
3	simple10	4	6	1640
3	simple10	4	7	4184
3	simple10	4	8	4505
3	simple10	4	9	1768
3	simple10	4	10	1441
3	random	1	1	7231
3	random	1	2	4367
3	random	1	3	2976
3	random	1	4	3329
3	random	1	5	6591
3	random	1	6	15004
3	random	1	7	3608
3	random	1	8	8672
3	random	1	9	15009
3	random	1	10	2032
3	random	2	1	6927
3	random	2	2	2023
3	random	2	3	6663
3	random	2	4	4424
3	random	2	5	2671
3	random	2	6	2056
3	random	2	7	2017
3	random	2	8	1575
3	random	2	9	2657
3	random	2	10	1624
3	random	3	1	2929
3	random	3	2	1927
3	random	3	3	6584
3	random	3	4	3881
3	random	3	5	2463
3	random	3	6	2560
3	random	3	7	2114
3	random	3	8	2368
3	random	3	9	2001
3	random	3	10	2999
3	random	4	1	2153
3	random	4	2	3208
3	random	4	3	1904
3	random	4	4	2161
3	random	4	5	2208
3	random	4	6	2096
3	random	4	7	1841
3	random	4	8	2864
3	random	4	9	2255
3	random	4	10	5231
3	user	1	1	2358
3	user	1	2	1897
3	user	1	3	2137
3	user	1	4	1864
3	user	1	5	4193
3	user	1	6	1984
3	user	1	7	3104
3	user	1	8	2400
3	user	1	9	6192
3	user	1	10	1968
3	user	2	1	4752
3	user	2	2	1792
3	user	2	3	1920
3	user	2	4	2712
3	user	2	5	2056
3	user	2	6	1672
3	user	2	7	3033
3	user	2	8	3096
3	user	2	9	1528
3	user	2	10	2576
3	user	3	1	7280
3	user	3	2	1616
3	user	3	3	1832
3	user	3	4	1760
3	user	3	5	2512
3	user	3	6	1536
3	user	3	7	1352
3	user	3	8	1417
3	user	3	9	1665
3	user	3	10	2849
3	user	4	1	1656
3	user	4	2	2321
3	user	4	3	2129
3	user	4	4	2561
3	user	4	5	1529
3	user	4	6	3986
3	user	4	7	2240
3	user	4	8	1472
3	user	4	9	3568
3	user	4	10	3016
4	simple10	1	1	3937
4	simple10	1	2	8940
4	simple10	1	3	3236
4	simple10	1	4	2691
4	simple10	1	5	2604
4	simple10	1	6	4204
4	simple10	1	7	5092
4	simple10	1	8	4852
4	simple10	1	9	5117
4	simple10	1	10	7156
4	simple10	2	1	6834
4	simple10	2	2	6644
4	simple10	2	3	4988
4	simple10	2	4	2485
4	simple10	2	5	7981
4	simple10	2	6	14027
4	simple10	2	7	4493
4	simple10	2	8	2292
4	simple10	2	9	3109
4	simple10	2	10	2659
4	simple10	3	1	3557
4	simple10	3	2	3252
4	simple10	3	3	11116
4	simple10	3	4	3940
4	simple10	3	5	4365
4	simple10	3	6	3156
4	simple10	3	7	3909
4	simple10	3	8	2501
4	simple10	3	9	1589
4	simple10	3	10	3420
4	simple10	4	1	5940
4	simple10	4	2	3380
4	simple10	4	3	2069
4	simple10	4	4	2740
4	simple10	4	5	2380
4	simple10	4	6	2301
4	simple10	4	7	2058
4	simple10	4	8	2613
4	simple10	4	9	1613
4	simple10	4	10	6981
4	random	1	1	4225
4	random	1	2	6356
4	random	1	3	9363
