ID	cond	phase	blk	tri	targetId	err	comp	distance	ct	clk	TimeOUt
A1	plain	3	1	1	15	0	TRUE	0	3037	1	0
A1	plain	3	1	2	13	0	TRUE	0	3070	1	0
A1	plain	3	1	3	2	0	TRUE	0	2680	1	0
A1	plain	3	1	4	10	6	TRUE	0	15438	7	0
A1	plain	3	1	5	8	0	TRUE	0	6647	1	0
A1	plain	3	1	6	0	0	TRUE	0	3112	1	0
A1	plain	3	1	7	11	0	TRUE	0	6871	1	0
A1	plain	3	1	8	9	0	TRUE	0	3272	1	0
A1	plain	3	1	9	16	0	TRUE	0	5040	1	0
A1	plain	3	1	10	1	0	TRUE	0	4536	1	0
A1	plain	3	1	11	5	0	TRUE	0	5359	1	0
A1	plain	3	1	12	3	0	TRUE	0	4128	1	0
A1	plain	3	1	13	4	0	TRUE	0	3104	1	0
A1	plain	3	1	14	12	0	TRUE	0	7024	1	0
A1	plain	3	1	15	14	1	TRUE	0	6287	2	0
A1	plain	3	1	16	6	0	TRUE	0	5672	1	0
A1	plain	3	1	17	7	1	TRUE	0	5448	2	0
A1	plain	3	1	18	17	0	TRUE	0	2736	1	0
A1	plain	3	2	1	13	1	TRUE	0	5422	2	0
A1	plain	3	2	2	8	4	TRUE	0	12407	5	0
A1	plain	3	2	3	0	0	TRUE	0	2863	1	0
A1	plain	3	2	4	4	0	TRUE	0	2655	1	0
A1	plain	3	2	5	9	0	TRUE	0	3544	1	0
A1	plain	3	2	6	10	4	TRUE	0	8862	5	0
A1	plain	3	2	7	14	4	TRUE	0	12183	5	0
A1	plain	3	2	8	1	0	TRUE	0	6119	1	0
A1	plain	3	2	9	12	1	TRUE	0	7271	2	0
A1	plain	3	2	10	3	1	TRUE	0	6160	2	0
A1	plain	3	2	11	16	0	TRUE	0	6520	1	0
A1	plain	3	2	12	15	0	TRUE	0	3559	1	0
A1	plain	3	2	13	2	0	TRUE	0	3824	1	0
A1	plain	3	2	14	17	0	TRUE	0	2543	1	0
A1	plain	3	2	15	7	5	TRUE	0	8726	6	0
A1	plain	3	2	16	11	2	TRUE	0	9447	3	0
A1	plain	3	2	17	6	0	TRUE	0	6919	1	0
A1	plain	3	2	18	5	13	TRUE	0	17661	14	0
A1	plain	3	3	1	17	0	TRUE	0	3976	1	0
A1	plain	3	3	2	11	1	TRUE	0	5495	2	0
A1	plain	3	3	3	14	11	TRUE	0	33557	12	0
A1	plain	3	3	4	5	0	TRUE	0	4312	1	0
A1	plain	3	3	5	12	2	TRUE	0	8392	3	0
A1	plain	3	3	6	8	20	TRUE	0	35091	21	0
A1	plain	3	3	7	13	1	TRUE	0	4912	2	0
A1	plain	3	3	8	7	8	TRUE	0	10607	9	0
A1	plain	3	3	9	16	15	TRUE	0	22180	16	0
A1	plain	3	3	10	6	2	TRUE	0	6720	3	0
A1	plain	3	3	11	1	1	TRUE	0	5239	2	0
A1	plain	3	3	12	9	1	TRUE	0	4030	2	0
A1	plain	3	3	13	10	9	TRUE	0	22159	10	0
A1	plain	3	3	14	3	0	TRUE	0	4336	1	0
A1	plain	3	3	15	4	0	TRUE	0	3647	1	0
A1	plain	3	3	16	2	0	TRUE	0	2928	1	0
A1	plain	3	3	17	0	0	TRUE	0	2719	1	0
A1	plain	3	3	18	15	0	TRUE	0	3264	1	0
